protein,cluster,table,tissue
LOC_Os03g04710.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g42520.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os04g52130.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g63430.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os10g08550.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os04g55960.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g48320.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g47270.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os11g05370.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g01520.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os06g19640.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g48080.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os07g38970.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os09g33500.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os07g44610.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g51220.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os04g08310.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g17020.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g49380.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os04g56530.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g02390.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g01960.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os08g04180.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g13840.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os12g06810.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g14000.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g56270.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g24330.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g49190.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g17690.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g51530.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g48626.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g62600.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os05g08370.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g50510.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os04g33040.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os08g34720.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os12g36880.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g18210.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g04970.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g22010.3,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g09510.4,Cluster_3,S2B_229mRNAs,embryo
LOC_Os02g30730.2,Cluster_3,S2B_229mRNAs,embryo
LOC_Os01g59790.2,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g50480.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os06g05660.1,Cluster_3,S2B_229mRNAs,embryo
LOC_Os03g04080.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os03g21260.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os04g52540.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os06g50330.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os07g34570.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os10g41560.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os10g42420.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os11g13980.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os11g14300.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os11g44810.1,Cluster_4,S2D_133mRNAs,embryo
LOC_Os08g03410.1,Cluster_4,S2D_133mRNAs,embryo
