locus,protein,t_test,emb_protein_log2fc
LOC_Os05g08840,LOC_Os05g08840.1,0.64,-0.18
LOC_Os02g01280,LOC_Os02g01280.1,0.64,-0.35
LOC_Os02g14860,LOC_Os02g14860.1,0.64,0.19
LOC_Os11g03400,LOC_Os11g03400.1,0.64,0.18
LOC_Os01g42880,LOC_Os01g42880.1,0.64,-0.23
LOC_Os03g18810,LOC_Os03g18810.1,0.64,-0.15
LOC_Os02g50820,LOC_Os02g50820.1,0.64,0.27
LOC_Os11g33330,LOC_Os11g33330.1,0.64,-0.2
LOC_Os05g23740,LOC_Os05g23740.1,0.65,-0.13
LOC_Os07g06880,LOC_Os07g06880.1,0.65,-0.17
LOC_Os03g31400,LOC_Os03g31400.1,0.65,-0.29
LOC_Os08g02640,LOC_Os08g02640.2,0.65,0.31
LOC_Os01g70960,LOC_Os01g70960.1,0.65,0.26
LOC_Os06g42560,LOC_Os06g42560.1,0.65,-0.29
LOC_Os09g33986,LOC_Os09g33986.1,0.65,0.28
LOC_Os04g58720,LOC_Os04g58720.1,0.65,0.42
LOC_Os02g04710,LOC_Os02g04710.1,0.65,-0.24
LOC_Os10g35720,LOC_Os10g35720.1,0.65,0.19
LOC_Os03g06980,LOC_Os03g06980.1,0.66,0.15
LOC_Os01g24680,LOC_Os01g24680.1,0.66,0.13
LOC_Os10g39610,LOC_Os10g39610.2,0.66,0.28
LOC_Os03g61970,LOC_Os03g61970.1,0.66,-0.32
LOC_Os05g28190,LOC_Os05g28190.1,0.66,0.15
LOC_Os03g53950,LOC_Os03g53950.1,0.66,0.18
LOC_Os10g42280,LOC_Os10g42280.1,0.66,-0.23
LOC_Os03g07100,LOC_Os03g07100.1,0.66,0.34
LOC_Os04g42580,LOC_Os04g42580.1,0.66,0.23
LOC_Os04g42320,LOC_Os04g42320.1,0.66,0.17
LOC_Os07g47510,LOC_Os07g47510.1,0.66,0.2
LOC_Os07g46790,LOC_Os07g46790.1,0.66,-0.19
LOC_Os07g02350,LOC_Os07g02350.1,0.66,0.28
LOC_Os03g31750,LOC_Os03g31750.1,0.66,-0.18
LOC_Os06g35470,LOC_Os06g35470.1,0.66,0.2
LOC_Os10g33800,LOC_Os10g33800.1,0.66,-0.19
LOC_Os06g06790,LOC_Os06g06790.1,0.66,-0.12
LOC_Os03g41419,LOC_Os03g41419.1,0.66,-0.17
LOC_Os08g40790,LOC_Os08g40790.1,0.66,0.22
LOC_Os04g39150,LOC_Os04g39150.1,0.66,0.36
LOC_Os06g30060,LOC_Os06g30060.1,0.66,0.32
LOC_Os03g59700,LOC_Os03g59700.1,0.66,0.39
LOC_Os05g49890,LOC_Os05g49890.1,0.67,-0.2
LOC_Os03g18720,LOC_Os03g18720.1,0.67,0.32
LOC_Os03g22690,LOC_Os03g22690.1,0.67,0.19
LOC_Os01g36090,LOC_Os01g36090.1,0.67,0.12
LOC_Os03g24600,LOC_Os03g24600.1,0.67,0.22
LOC_Os01g71300,LOC_Os01g71300.1,0.67,-0.23
LOC_Os01g03360,LOC_Os01g03360.1,0.67,-0.14
LOC_Os01g59600,LOC_Os01g59600.1,0.67,0.22
LOC_Os03g59310,LOC_Os03g59310.1,0.67,0.21
LOC_Os03g22570,LOC_Os03g22570.1,0.67,-0.14
LOC_Os01g19450,LOC_Os01g19450.1,0.67,-0.14
LOC_Os09g06230,LOC_Os09g06230.1,0.67,0.31
LOC_Os05g27920,LOC_Os05g27920.1,0.67,0.22
LOC_Os01g46750,LOC_Os01g46750.1,0.67,0.16
LOC_Os01g50450,LOC_Os01g50450.1,0.67,0.2
LOC_Os11g41130,LOC_Os11g41130.2,0.67,0.12
LOC_Os03g64210,LOC_Os03g64210.1,0.67,-0.12
LOC_Os07g33240,LOC_Os07g33240.1,0.67,-0.19
LOC_Os05g45950,LOC_Os05g45950.1,0.67,-0.2
LOC_Os03g63670,LOC_Os03g63670.1,0.67,0.19
LOC_Os02g12800,LOC_Os02g12800.1,0.67,-0.11
LOC_Os12g30540,LOC_Os12g30540.1,0.67,0.22
LOC_Os08g43190,LOC_Os08g43190.1,0.68,0.12
LOC_Os02g11060,LOC_Os02g11060.1,0.68,-0.17
LOC_Os03g26460,LOC_Os03g26460.1,0.68,0.2
LOC_Os03g52310,LOC_Os03g52310.1,0.68,-0.23
LOC_Os01g70770,LOC_Os01g70770.1,0.68,0.47
LOC_Os09g19734,LOC_Os09g19734.1,0.68,-0.16
LOC_Os03g11200,LOC_Os03g11200.1,0.68,-0.25
LOC_Os02g07260,LOC_Os02g07260.1,0.68,0.19
LOC_Os10g27190,LOC_Os10g27190.1,0.68,0.16
LOC_Os06g01680,LOC_Os06g01680.1,0.68,0.24
LOC_Os01g46070,LOC_Os01g46070.1,0.68,-0.19
LOC_Os03g61930,LOC_Os03g61930.1,0.68,0.28
LOC_Os01g62040,LOC_Os01g62040.1,0.68,0.1
LOC_Os11g24570,LOC_Os11g24570.1,0.68,0.11
LOC_Os10g41440,LOC_Os10g41440.1,0.69,-0.05
LOC_Os03g11220,LOC_Os03g11220.1,0.69,0.28
LOC_Os01g45190,LOC_Os01g45190.1,0.69,-0.28
LOC_Os05g49440,LOC_Os05g49440.2,0.69,-0.22
LOC_Os07g10250,LOC_Os07g10250.1,0.69,-0.17
LOC_Os12g39660,LOC_Os12g39660.1,0.69,0.4
LOC_Os09g28050,LOC_Os09g28050.1,0.69,-0.15
LOC_Os07g34589,LOC_Os07g34589.2,0.69,0.21
LOC_Os06g50300,LOC_Os06g50300.1,0.69,-0.16
LOC_Os12g28270,LOC_Os12g28270.1,0.69,0.16
LOC_Os01g08410,LOC_Os01g08410.1,0.69,0.21
LOC_Os12g40880,LOC_Os12g40880.1,0.69,0.23
LOC_Os05g49880,LOC_Os05g49880.2,0.69,-0.22
LOC_Os03g04260,LOC_Os03g04260.1,0.69,0.24
LOC_Os04g33060,LOC_Os04g33060.1,0.69,0.28
LOC_Os11g04220,LOC_Os11g04220.1,0.69,-0.29
LOC_Os02g21660,LOC_Os02g21660.1,0.7,0.3
LOC_Os10g35050,LOC_Os10g35050.1,0.7,-0.18
LOC_Os03g61920,LOC_Os03g61920.1,0.7,-0.15
LOC_Os01g68710,LOC_Os01g68710.1,0.7,-0.06
LOC_Os05g03780,LOC_Os05g03780.1,0.7,-0.28
LOC_Os03g59300,LOC_Os03g59300.1,0.7,0.08
LOC_Os02g10080,LOC_Os02g10080.1,0.7,-0.17
LOC_Os11g03890,LOC_Os11g03890.1,0.7,0.27
LOC_Os12g38150,LOC_Os12g38150.1,0.7,0.14
LOC_Os05g09490,LOC_Os05g09490.1,0.7,0.17
LOC_Os06g30460,LOC_Os06g30460.2,0.7,-0.12
LOC_Os02g10920,LOC_Os02g10920.1,0.7,-0.16
LOC_Os04g59040,LOC_Os04g59040.1,0.7,0.17
LOC_Os04g52110,LOC_Os04g52110.1,0.7,0.21
LOC_Os05g43230,LOC_Os05g43230.1,0.7,0.22
LOC_Os09g35970,LOC_Os09g35970.1,0.7,-0.2
LOC_Os01g07810,LOC_Os01g07810.1,0.71,0.18
LOC_Os06g41384,LOC_Os06g41384.1,0.71,-0.27
LOC_Os02g11820,LOC_Os02g11820.1,0.71,0.22
LOC_Os03g10510,LOC_Os03g10510.1,0.71,0.2
LOC_Os06g19730,LOC_Os06g19730.1,0.71,0.18
LOC_Os04g46894,LOC_Os04g46894.1,0.71,-0.27
LOC_Os06g11430,LOC_Os06g11430.1,0.71,0.15
LOC_Os02g26984,LOC_Os02g26984.1,0.71,-0.16
LOC_Os03g51350,LOC_Os03g51350.1,0.71,-0.27
LOC_Os01g53000,LOC_Os01g53000.1,0.71,-0.18
LOC_Os01g53700,LOC_Os01g53700.1,0.71,-0.19
LOC_Os03g06670,LOC_Os03g06670.1,0.71,-0.41
LOC_Os07g33330,LOC_Os07g33330.1,0.72,-0.13
LOC_Os11g19250,LOC_Os11g19250.1,0.72,0.24
LOC_Os07g39710,LOC_Os07g39710.1,0.72,0.18
LOC_Os10g40540,LOC_Os10g40540.1,0.72,-0.13
LOC_Os05g47640,LOC_Os05g47640.1,0.72,-0.15
LOC_Os02g35039,LOC_Os02g35039.1,0.72,-0.17
LOC_Os10g39440,LOC_Os10g39440.1,0.72,-0.38
LOC_Os03g50885,LOC_Os03g50885.1,0.72,0.31
LOC_Os07g09060,LOC_Os07g09060.1,0.72,-0.09
LOC_Os05g46290,LOC_Os05g46290.1,0.72,0.19
LOC_Os02g37430,LOC_Os02g37430.1,0.72,0.2
LOC_Os06g04820,LOC_Os06g04820.1,0.72,-0.15
LOC_Os08g09940,LOC_Os08g09940.1,0.72,0.18
LOC_Os03g11720,LOC_Os03g11720.1,0.72,-0.2
LOC_Os03g16940,LOC_Os03g16940.1,0.72,-0.17
LOC_Os03g51140,LOC_Os03g51140.1,0.72,-0.15
LOC_Os11g29400,LOC_Os11g29400.1,0.73,0.17
LOC_Os05g51490,LOC_Os05g51490.1,0.73,0.19
LOC_Os07g11920,LOC_Os07g11920.1,0.73,-0.16
LOC_Os03g19270,LOC_Os03g19270.2,0.73,-0.18
LOC_Os03g07570,LOC_Os03g07570.1,0.73,-0.16
LOC_Os07g03230,LOC_Os07g03230.1,0.73,-0.18
LOC_Os11g34450,LOC_Os11g34450.1,0.73,0.23
LOC_Os06g46900,LOC_Os06g46900.1,0.73,-0.21
LOC_Os01g41550,LOC_Os01g41550.1,0.73,0.11
LOC_Os10g30520,LOC_Os10g30520.1,0.73,0.15
LOC_Os02g04100,LOC_Os02g04100.1,0.73,-0.16
LOC_Os12g17910,LOC_Os12g17910.1,0.73,-0.09
LOC_Os01g68324,LOC_Os01g68324.3,0.73,0.19
LOC_Os09g35730,LOC_Os09g35730.1,0.73,-0.23
LOC_Os01g73160,LOC_Os01g73160.1,0.73,-0.1
LOC_Os02g07350,LOC_Os02g07350.1,0.73,0.17
LOC_Os07g44190,LOC_Os07g44190.1,0.73,-0.13
LOC_Os12g35040,LOC_Os12g35040.1,0.73,0.11
LOC_Os07g31380,LOC_Os07g31380.1,0.73,-0.1
LOC_Os02g02410,LOC_Os02g02410.1,0.73,-0.1
LOC_Os10g26130,LOC_Os10g26130.1,0.73,0.26
LOC_Os12g27830,LOC_Os12g27830.1,0.73,0.08
LOC_Os07g15880,LOC_Os07g15880.1,0.73,-0.23
LOC_Os06g15360,LOC_Os06g15360.1,0.74,0.14
LOC_Os02g02850,LOC_Os02g02850.1,0.74,-0.17
LOC_Os12g18760,LOC_Os12g18760.2,0.74,-0.25
LOC_Os02g43760,LOC_Os02g43760.1,0.74,-0.28
LOC_Os07g08030,LOC_Os07g08030.1,0.74,-0.31
LOC_Os08g40570,LOC_Os08g40570.1,0.74,0.44
LOC_Os02g52390,LOC_Os02g52390.1,0.74,-0.21
LOC_Os09g27830,LOC_Os09g27830.1,0.74,0.09
LOC_Os09g07500,LOC_Os09g07500.1,0.74,-0.19
LOC_Os06g04290,LOC_Os06g04290.1,0.74,-0.21
LOC_Os03g61600,LOC_Os03g61600.1,0.74,0.1
LOC_Os01g74650,LOC_Os01g74650.3,0.74,0.08
LOC_Os07g09340,LOC_Os07g09340.1,0.74,0.19
LOC_Os05g14194,LOC_Os05g14194.1,0.74,-0.3
LOC_Os10g37420,LOC_Os10g37420.2,0.74,-0.12
LOC_Os01g53520,LOC_Os01g53520.1,0.74,0.2
LOC_Os01g21034,LOC_Os01g21034.1,0.74,0.06
LOC_Os11g34140,LOC_Os11g34140.1,0.74,-0.23
LOC_Os03g18510,LOC_Os03g18510.1,0.74,0.13
LOC_Os05g14170,LOC_Os05g14170.1,0.75,0.23
LOC_Os10g38740,LOC_Os10g38740.1,0.75,0.29
LOC_Os12g01530,LOC_Os12g01530.1,0.75,-0.24
LOC_Os11g06390,LOC_Os11g06390.1,0.75,0.13
LOC_Os12g32200,LOC_Os12g32200.1,0.75,-0.16
LOC_Os01g53910,LOC_Os01g53910.1,0.75,-0.18
LOC_Os09g12600,LOC_Os09g12600.1,0.75,-0.12
LOC_Os01g19820,LOC_Os01g19820.1,0.75,0.15
LOC_Os10g42840,LOC_Os10g42840.1,0.75,-0.18
LOC_Os07g47710,LOC_Os07g47710.1,0.76,0.31
LOC_Os03g50340,LOC_Os03g50340.1,0.76,0.15
LOC_Os03g24220,LOC_Os03g24220.1,0.76,0.21
LOC_Os01g53680,LOC_Os01g53680.1,0.76,0.16
LOC_Os01g01307,LOC_Os01g01307.1,0.76,-0.17
LOC_Os09g15520,LOC_Os09g15520.1,0.76,0.15
LOC_Os02g44510,LOC_Os02g44510.1,0.76,-0.11
LOC_Os01g43030,LOC_Os01g43030.1,0.76,-0.1
LOC_Os10g40780,LOC_Os10g40780.1,0.77,-0.26
LOC_Os06g44910,LOC_Os06g44910.1,0.77,-0.21
LOC_Os04g42010,LOC_Os04g42010.1,0.77,0.33
LOC_Os03g56810,LOC_Os03g56810.1,0.77,0.21
LOC_Os03g53270,LOC_Os03g53270.1,0.77,0.16
LOC_Os02g03260,LOC_Os02g03260.1,0.77,0.09
LOC_Os05g06500,LOC_Os05g06500.1,0.77,0.08
LOC_Os05g44310,LOC_Os05g44310.1,0.77,-0.07
LOC_Os02g32030,LOC_Os02g32030.1,0.77,-0.14
LOC_Os09g04100,LOC_Os09g04100.1,0.77,0.19
LOC_Os01g09890,LOC_Os01g09890.1,0.77,0.19
LOC_Os12g38000,LOC_Os12g38000.1,0.77,-0.14
LOC_Os01g67860,LOC_Os01g67860.1,0.77,0.12
LOC_Os07g42910,LOC_Os07g42910.1,0.77,0.15
LOC_Os12g14070,LOC_Os12g14070.1,0.78,0.14
LOC_Os03g61050,LOC_Os03g61050.1,0.78,-0.16
LOC_Os05g46480,LOC_Os05g46480.1,0.78,-0.11
LOC_Os03g32630,LOC_Os03g32630.1,0.78,-0.12
LOC_Os02g21970,LOC_Os02g21970.1,0.78,-0.08
LOC_Os01g16152,LOC_Os01g16152.1,0.78,0.06
LOC_Os04g54810,LOC_Os04g54810.1,0.78,-0.08
LOC_Os04g10400,LOC_Os04g10400.1,0.78,0.09
LOC_Os02g24720,LOC_Os02g24720.1,0.78,0.22
LOC_Os06g10890,LOC_Os06g10890.1,0.78,0.1
LOC_Os05g02520,LOC_Os05g02520.1,0.78,0.09
LOC_Os03g44484,LOC_Os03g44484.1,0.78,-0.11
LOC_Os03g29180,LOC_Os03g29180.1,0.78,-0.08
LOC_Os09g15820,LOC_Os09g15820.1,0.78,-0.16
LOC_Os03g60550,LOC_Os03g60550.1,0.78,-0.09
LOC_Os09g23730,LOC_Os09g23730.1,0.78,-0.34
LOC_Os09g23650,LOC_Os09g23650.1,0.79,0.27
LOC_Os03g27320,LOC_Os03g27320.1,0.79,0.11
LOC_Os02g53420,LOC_Os02g53420.1,0.79,0.1
LOC_Os05g50940,LOC_Os05g50940.1,0.79,-0.13
LOC_Os06g11620,LOC_Os06g11620.1,0.79,-0.21
LOC_Os03g53900,LOC_Os03g53900.1,0.79,-0.11
LOC_Os01g47430,LOC_Os01g47430.1,0.79,0.11
LOC_Os01g04330,LOC_Os01g04330.1,0.79,0.12
LOC_Os06g02240,LOC_Os06g02240.1,0.79,0.15
LOC_Os06g37660,LOC_Os06g37660.1,0.79,0.04
LOC_Os06g44270,LOC_Os06g44270.1,0.79,-0.19
LOC_Os01g64690,LOC_Os01g64690.1,0.79,0.13
LOC_Os04g18200,LOC_Os04g18200.1,0.79,0.11
LOC_Os03g31090,LOC_Os03g31090.1,0.79,-0.1
LOC_Os01g19470,LOC_Os01g19470.1,0.79,-0.08
LOC_Os02g01010,LOC_Os02g01010.1,0.79,-0.08
LOC_Os05g31490,LOC_Os05g31490.1,0.79,0.17
LOC_Os07g44440,LOC_Os07g44440.1,0.8,-0.18
LOC_Os10g20630,LOC_Os10g20630.1,0.8,-0.13
LOC_Os02g58020,LOC_Os02g58020.1,0.8,-0.09
LOC_Os05g51140,LOC_Os05g51140.2,0.8,0.2
LOC_Os04g56740,LOC_Os04g56740.1,0.8,0.18
LOC_Os02g12650,LOC_Os02g12650.1,0.8,-0.11
LOC_Os07g46990,LOC_Os07g46990.1,0.8,0.09
LOC_Os01g08760,LOC_Os01g08760.1,0.8,0.17
LOC_Os05g05740,LOC_Os05g05740.1,0.8,-0.15
LOC_Os02g29480,LOC_Os02g29480.1,0.8,0.24
LOC_Os12g10784,LOC_Os12g10784.1,0.8,0.17
LOC_Os03g15950,LOC_Os03g15950.1,0.8,-0.15
LOC_Os04g52270,LOC_Os04g52270.1,0.8,0.18
LOC_Os09g33950,LOC_Os09g33950.1,0.8,0.14
LOC_Os02g55030,LOC_Os02g55030.1,0.8,0.13
LOC_Os09g02700,LOC_Os09g02700.1,0.8,-0.05
LOC_Os01g71770,LOC_Os01g71770.1,0.81,0.12
LOC_Os02g03100,LOC_Os02g03100.1,0.81,-0.06
LOC_Os08g06480,LOC_Os08g06480.1,0.81,0.14
LOC_Os05g28940,LOC_Os05g28940.1,0.81,-0.05
LOC_Os02g51040,LOC_Os02g51040.1,0.81,-0.16
LOC_Os06g01370,LOC_Os06g01370.1,0.81,0.1
LOC_Os01g34700,LOC_Os01g34700.1,0.81,0.12
LOC_Os01g69990,LOC_Os01g69990.1,0.81,-0.1
LOC_Os05g01480,LOC_Os05g01480.1,0.81,0.22
LOC_Os08g41990,LOC_Os08g41990.1,0.81,0.11
LOC_Os04g38900,LOC_Os04g38900.1,0.81,0.11
LOC_Os01g01450,LOC_Os01g01450.1,0.82,-0.1
LOC_Os04g51910,LOC_Os04g51910.1,0.82,0.04
LOC_Os06g49800,LOC_Os06g49800.1,0.82,0.08
LOC_Os02g35160,LOC_Os02g35160.1,0.82,-0.11
LOC_Os02g54700,LOC_Os02g54700.2,0.82,0.09
LOC_Os05g51700,LOC_Os05g51700.1,0.82,0.1
LOC_Os02g54140,LOC_Os02g54140.1,0.82,-0.08
LOC_Os07g01870,LOC_Os07g01870.1,0.82,-0.11
LOC_Os01g68670,LOC_Os01g68670.1,0.82,0.06
LOC_Os06g37000,LOC_Os06g37000.1,0.82,0.18
LOC_Os09g31180,LOC_Os09g31180.1,0.82,0.04
LOC_Os04g04020,LOC_Os04g04020.1,0.82,-0.09
LOC_Os04g58240,LOC_Os04g58240.1,0.83,-0.11
LOC_Os06g40040,LOC_Os06g40040.1,0.83,-0.13
LOC_Os01g38480,LOC_Os01g38480.1,0.83,-0.08
LOC_Os08g40110,LOC_Os08g40110.2,0.83,0.1
LOC_Os02g52140,LOC_Os02g52140.1,0.83,0.15
LOC_Os02g50350,LOC_Os02g50350.1,0.83,0.17
LOC_Os01g42870,LOC_Os01g42870.1,0.83,-0.05
LOC_Os02g12850,LOC_Os02g12850.1,0.83,0.1
LOC_Os01g15460,LOC_Os01g15460.1,0.83,-0.08
LOC_Os12g39860,LOC_Os12g39860.1,0.83,0.15
LOC_Os03g22810,LOC_Os03g22810.1,0.83,-0.11
LOC_Os03g42110,LOC_Os03g42110.1,0.83,-0.07
LOC_Os01g68810,LOC_Os01g68810.1,0.83,0.05
LOC_Os06g10770,LOC_Os06g10770.1,0.83,-0.15
LOC_Os03g08010,LOC_Os03g08010.1,0.83,0.06
LOC_Os03g26960,LOC_Os03g26960.1,0.84,0.16
LOC_Os04g31710,LOC_Os04g31710.1,0.84,-0.1
LOC_Os06g48230,LOC_Os06g48230.1,0.84,-0.06
LOC_Os01g08560,LOC_Os01g08560.1,0.84,0.1
LOC_Os02g36710,LOC_Os02g36710.1,0.84,0.12
LOC_Os02g46990,LOC_Os02g46990.1,0.84,-0.07
LOC_Os01g16430,LOC_Os01g16430.1,0.84,-0.08
LOC_Os05g28290,LOC_Os05g28290.1,0.84,-0.1
LOC_Os12g38140,LOC_Os12g38140.1,0.84,0.08
LOC_Os03g06620,LOC_Os03g06620.1,0.84,0.16
LOC_Os10g30150,LOC_Os10g30150.1,0.84,-0.07
LOC_Os02g02960,LOC_Os02g02960.1,0.84,-0.13
LOC_Os03g63400,LOC_Os03g63400.1,0.84,-0.12
LOC_Os08g25624,LOC_Os08g25624.1,0.84,-0.1
LOC_Os10g33680,LOC_Os10g33680.1,0.84,0.11
LOC_Os01g49690,LOC_Os01g49690.1,0.84,-0.08
LOC_Os02g14780,LOC_Os02g14780.1,0.84,0.06
LOC_Os01g73310,LOC_Os01g73310.1,0.84,0.07
LOC_Os04g31000,LOC_Os04g31000.1,0.84,0.08
LOC_Os08g39350,LOC_Os08g39350.1,0.84,0.06
LOC_Os03g48930,LOC_Os03g48930.1,0.84,-0.16
LOC_Os10g08930,LOC_Os10g08930.1,0.84,-0.08
LOC_Os04g32950,LOC_Os04g32950.1,0.84,0.06
LOC_Os06g29180,LOC_Os06g29180.1,0.84,-0.08
LOC_Os07g43470,LOC_Os07g43470.1,0.85,0.11
LOC_Os10g42090,LOC_Os10g42090.1,0.85,-0.13
LOC_Os08g02400,LOC_Os08g02400.1,0.85,0.08
LOC_Os03g57460,LOC_Os03g57460.1,0.85,-0.11
LOC_Os08g43040,LOC_Os08g43040.1,0.85,0.11
LOC_Os01g59740,LOC_Os01g59740.1,0.85,0.09
LOC_Os03g14990,LOC_Os03g14990.1,0.85,-0.07
LOC_Os02g01250,LOC_Os02g01250.1,0.85,-0.1
LOC_Os09g36450,LOC_Os09g36450.1,0.85,0.12
LOC_Os07g23880,LOC_Os07g23880.1,0.85,-0.05
LOC_Os04g56590,LOC_Os04g56590.1,0.85,0.13
LOC_Os03g12590,LOC_Os03g12590.1,0.85,-0.05
LOC_Os01g55050,LOC_Os01g55050.1,0.85,-0.07
LOC_Os09g04110,LOC_Os09g04110.1,0.85,0.07
LOC_Os07g36940,LOC_Os07g36940.1,0.86,0.12
LOC_Os05g47980,LOC_Os05g47980.1,0.86,0.04
LOC_Os05g51640,LOC_Os05g51640.1,0.86,-0.13
LOC_Os01g46980,LOC_Os01g46980.1,0.86,0.1
LOC_Os07g25420,LOC_Os07g25420.1,0.86,0.12
LOC_Os03g44150,LOC_Os03g44150.1,0.86,0.06
LOC_Os07g30840,LOC_Os07g30840.1,0.86,0.09
LOC_Os08g42560,LOC_Os08g42560.1,0.86,0.04
LOC_Os03g58700,LOC_Os03g58700.1,0.86,-0.06
LOC_Os02g33080,LOC_Os02g33080.1,0.86,-0.05
LOC_Os07g39870,LOC_Os07g39870.1,0.86,-0.08
LOC_Os02g44870,LOC_Os02g44870.1,0.86,-0.08
LOC_Os02g32660,LOC_Os02g32660.1,0.87,-0.1
LOC_Os01g64280,LOC_Os01g64280.1,0.87,0.06
LOC_Os09g07300,LOC_Os09g07300.1,0.87,-0.12
LOC_Os03g48850,LOC_Os03g48850.1,0.87,-0.1
LOC_Os03g57420,LOC_Os03g57420.1,0.87,0.07
LOC_Os01g64630,LOC_Os01g64630.1,0.87,0.15
LOC_Os07g38760,LOC_Os07g38760.1,0.87,0.11
LOC_Os07g47420,LOC_Os07g47420.1,0.87,-0.1
LOC_Os05g03820,LOC_Os05g03820.1,0.87,-0.08
LOC_Os02g24354,LOC_Os02g24354.1,0.87,0.07
LOC_Os02g01332,LOC_Os02g01332.1,0.87,0.04
LOC_Os07g28480,LOC_Os07g28480.1,0.87,0.1
LOC_Os08g33440,LOC_Os08g33440.1,0.87,-0.03
LOC_Os01g18070,LOC_Os01g18070.1,0.88,0.09
LOC_Os10g41470,LOC_Os10g41470.1,0.88,0.07
LOC_Os01g02020,LOC_Os01g02020.1,0.88,-0.08
LOC_Os04g26841,LOC_Os04g26841.1,0.88,0.18
LOC_Os05g38230,LOC_Os05g38230.1,0.88,-0.08
LOC_Os01g13430,LOC_Os01g13430.1,0.88,-0.1
LOC_Os03g57340,LOC_Os03g57340.1,0.88,0.07
LOC_Os07g08840,LOC_Os07g08840.1,0.88,-0.07
LOC_Os01g63780,LOC_Os01g63780.1,0.88,-0.13
LOC_Os02g38210,LOC_Os02g38210.1,0.88,0.05
LOC_Os03g06740,LOC_Os03g06740.1,0.88,-0.15
LOC_Os12g42980,LOC_Os12g42980.1,0.88,0.1
LOC_Os01g55270,LOC_Os01g55270.1,0.88,-0.11
LOC_Os08g37320,LOC_Os08g37320.1,0.88,-0.09
LOC_Os03g36780,LOC_Os03g36780.1,0.88,0.05
LOC_Os06g50000,LOC_Os06g50000.1,0.88,0.07
LOC_Os07g22350,LOC_Os07g22350.1,0.88,0.03
LOC_Os03g18580,LOC_Os03g18580.1,0.88,0.05
LOC_Os01g71230,LOC_Os01g71230.1,0.88,-0.09
LOC_Os12g32986,LOC_Os12g32986.1,0.88,0.07
LOC_Os02g10260,LOC_Os02g10260.1,0.88,-0.05
LOC_Os07g10830,LOC_Os07g10830.1,0.88,0.08
LOC_Os01g66180,LOC_Os01g66180.1,0.89,0.08
LOC_Os07g08330,LOC_Os07g08330.1,0.89,0.08
LOC_Os03g58050,LOC_Os03g58050.1,0.89,0.06
LOC_Os04g45970,LOC_Os04g45970.2,0.89,0.07
LOC_Os10g10990,LOC_Os10g10990.1,0.89,-0.07
LOC_Os04g01250,LOC_Os04g01250.1,0.89,0.07
LOC_Os05g23860,LOC_Os05g23860.1,0.89,-0.09
LOC_Os03g60509,LOC_Os03g60509.2,0.89,0.06
LOC_Os06g13820,LOC_Os06g13820.1,0.89,0.1
LOC_Os02g56960,LOC_Os02g56960.1,0.89,0.04
LOC_Os03g64080,LOC_Os03g64080.1,0.89,0.06
LOC_Os03g42320,LOC_Os03g42320.1,0.89,0.06
LOC_Os03g48110,LOC_Os03g48110.1,0.89,-0.05
LOC_Os01g21160,LOC_Os01g21160.1,0.89,0.06
LOC_Os08g42050,LOC_Os08g42050.1,0.89,0.1
LOC_Os06g42000,LOC_Os06g42000.1,0.89,-0.04
LOC_Os01g43630,LOC_Os01g43630.1,0.89,-0.06
LOC_Os07g49150,LOC_Os07g49150.1,0.89,-0.17
LOC_Os01g62260,LOC_Os01g62260.1,0.89,0.1
LOC_Os05g30750,LOC_Os05g30750.1,0.89,-0.09
LOC_Os07g31720,LOC_Os07g31720.1,0.89,-0.08
LOC_Os08g44430,LOC_Os08g44430.1,0.9,0.11
LOC_Os06g44190,LOC_Os06g44190.1,0.9,0.1
LOC_Os01g08350,LOC_Os01g08350.1,0.9,-0.02
LOC_Os05g36120,LOC_Os05g36120.1,0.9,0.09
LOC_Os01g07760,LOC_Os01g07760.1,0.9,-0.06
LOC_Os03g52770,LOC_Os03g52770.1,0.9,-0.05
LOC_Os05g32530,LOC_Os05g32530.1,0.9,0.06
LOC_Os05g07700,LOC_Os05g07700.1,0.9,-0.09
LOC_Os02g07720,LOC_Os02g07720.2,0.9,0.05
LOC_Os10g35870,LOC_Os10g35870.1,0.9,0.06
LOC_Os06g51220,LOC_Os06g51220.2,0.9,0.09
LOC_Os09g30412,LOC_Os09g30412.1,0.9,-0.07
LOC_Os07g46460,LOC_Os07g46460.1,0.9,-0.05
LOC_Os07g42810,LOC_Os07g42810.1,0.9,-0.08
LOC_Os04g30760,LOC_Os04g30760.1,0.91,0.04
LOC_Os03g64110,LOC_Os03g64110.1,0.91,-0.06
LOC_Os05g01450,LOC_Os05g01450.1,0.91,-0.05
LOC_Os02g57630,LOC_Os02g57630.1,0.91,0.05
LOC_Os06g36710,LOC_Os06g36710.1,0.91,0.07
LOC_Os08g44520,LOC_Os08g44520.1,0.91,-0.04
LOC_Os02g05030,LOC_Os02g05030.1,0.91,-0.05
LOC_Os09g37006,LOC_Os09g37006.1,0.91,0.06
LOC_Os07g30970,LOC_Os07g30970.1,0.91,0.07
LOC_Os07g07040,LOC_Os07g07040.1,0.91,-0.09
LOC_Os06g08770,LOC_Os06g08770.1,0.92,0.04
LOC_Os09g39380,LOC_Os09g39380.1,0.92,-0.04
LOC_Os02g54770,LOC_Os02g54770.1,0.92,0.02
LOC_Os07g05400,LOC_Os07g05400.1,0.92,0.11
