locus,protein,t_test,emb_protein_log2fc
LOC_Os04g39700,LOC_Os04g39700.1,0.52,0.35
LOC_Os08g40560,LOC_Os08g40560.1,0.52,0.26
LOC_Os04g33460,LOC_Os04g33460.1,0.52,-0.26
LOC_Os02g33450,LOC_Os02g33450.1,0.52,0.24
LOC_Os05g48240,LOC_Os05g48240.1,0.52,0.3
LOC_Os06g36770,LOC_Os06g36770.1,0.52,-0.21
LOC_Os06g47330,LOC_Os06g47330.1,0.52,0.17
LOC_Os06g11640,LOC_Os06g11640.1,0.52,-0.4
LOC_Os05g08360,LOC_Os05g08360.1,0.52,-0.35
LOC_Os05g04870,LOC_Os05g04870.1,0.52,-0.19
LOC_Os03g42130,LOC_Os03g42130.1,0.52,0.77
LOC_Os05g43360,LOC_Os05g43360.1,0.52,-0.33
LOC_Os11g48070,LOC_Os11g48070.1,0.52,0.33
LOC_Os08g03520,LOC_Os08g03520.1,0.53,0.22
LOC_Os03g21460,LOC_Os03g21460.1,0.53,-0.35
LOC_Os01g54940,LOC_Os01g54940.1,0.53,-0.24
LOC_Os07g22720,LOC_Os07g22720.1,0.53,0.31
LOC_Os06g05180,LOC_Os06g05180.3,0.53,0.78
LOC_Os01g36890,LOC_Os01g36890.2,0.53,0.16
LOC_Os01g63270,LOC_Os01g63270.1,0.53,-0.22
LOC_Os02g18380,LOC_Os02g18380.1,0.53,0.2
LOC_Os02g39550,LOC_Os02g39550.1,0.53,0.35
LOC_Os01g48760,LOC_Os01g48760.1,0.53,-0.23
LOC_Os03g40270,LOC_Os03g40270.1,0.53,0.22
LOC_Os09g16910,LOC_Os09g16910.1,0.53,-0.32
LOC_Os02g54340,LOC_Os02g54340.1,0.53,0.22
LOC_Os08g45010,LOC_Os08g45010.1,0.53,-0.18
LOC_Os01g54520,LOC_Os01g54520.1,0.53,-0.36
LOC_Os04g55040,LOC_Os04g55040.1,0.53,0.31
LOC_Os08g27850,LOC_Os08g27850.1,0.53,-0.11
LOC_Os05g06430,LOC_Os05g06430.1,0.54,0.24
LOC_Os05g49180,LOC_Os05g49180.1,0.54,0.22
LOC_Os03g17310,LOC_Os03g17310.1,0.54,0.33
LOC_Os02g07120,LOC_Os02g07120.1,0.54,0.19
LOC_Os05g33210,LOC_Os05g33210.2,0.54,-0.3
LOC_Os08g40250,LOC_Os08g40250.1,0.54,0.65
LOC_Os04g51796,LOC_Os04g51796.3,0.54,-0.15
LOC_Os03g04110,LOC_Os03g04110.1,0.54,0.28
LOC_Os10g32550,LOC_Os10g32550.1,0.54,-0.12
LOC_Os07g11900,LOC_Os07g11900.1,0.54,0.35
LOC_Os04g56580,LOC_Os04g56580.1,0.54,0.28
LOC_Os04g41960,LOC_Os04g41960.1,0.54,-0.21
LOC_Os12g36194,LOC_Os12g36194.1,0.54,-0.05
LOC_Os05g51480,LOC_Os05g51480.1,0.54,-0.23
LOC_Os01g55770,LOC_Os01g55770.1,0.54,0.34
LOC_Os06g07090,LOC_Os06g07090.1,0.54,0.27
LOC_Os06g02510,LOC_Os06g02510.1,0.54,-0.35
LOC_Os02g07490,LOC_Os02g07490.1,0.54,-0.18
LOC_Os01g11570,LOC_Os01g11570.1,0.54,-0.31
LOC_Os07g06950,LOC_Os07g06950.1,0.54,-0.31
LOC_Os01g37832,LOC_Os01g37832.1,0.54,-0.37
LOC_Os10g11810,LOC_Os10g11810.1,0.54,-0.16
LOC_Os08g43090,LOC_Os08g43090.1,0.55,-0.17
LOC_Os11g39650,LOC_Os11g39650.1,0.55,0.25
LOC_Os12g12850,LOC_Os12g12850.1,0.55,0.28
LOC_Os07g39780,LOC_Os07g39780.1,0.55,-0.21
LOC_Os03g60460,LOC_Os03g60460.1,0.55,0.37
LOC_Os04g33150,LOC_Os04g33150.1,0.55,0.29
LOC_Os02g07410,LOC_Os02g07410.1,0.55,0.42
LOC_Os05g22940,LOC_Os05g22940.1,0.55,-0.26
LOC_Os09g32650,LOC_Os09g32650.1,0.55,0.16
LOC_Os03g10340,LOC_Os03g10340.1,0.55,0.46
LOC_Os08g32980,LOC_Os08g32980.1,0.56,-0.34
LOC_Os11g01380,LOC_Os11g01380.1,0.56,0.19
LOC_Os06g08080,LOC_Os06g08080.1,0.56,0.38
LOC_Os07g44620,LOC_Os07g44620.1,0.56,0.47
LOC_Os05g26902,LOC_Os05g26902.1,0.56,0.37
LOC_Os01g64520,LOC_Os01g64520.1,0.56,0.5
LOC_Os08g01760,LOC_Os08g01760.1,0.56,-0.26
LOC_Os03g59590,LOC_Os03g59590.1,0.56,0.32
LOC_Os03g14180,LOC_Os03g14180.1,0.56,-0.33
LOC_Os01g74520,LOC_Os01g74520.1,0.56,0.34
LOC_Os07g47670,LOC_Os07g47670.1,0.56,-0.22
LOC_Os11g24560,LOC_Os11g24560.1,0.57,0.34
LOC_Os07g05580,LOC_Os07g05580.1,0.57,0.26
LOC_Os08g23110,LOC_Os08g23110.1,0.57,-0.23
LOC_Os02g30460,LOC_Os02g30460.1,0.57,-0.38
LOC_Os02g44630,LOC_Os02g44630.1,0.57,0.39
LOC_Os03g59050,LOC_Os03g59050.1,0.57,-0.24
LOC_Os02g10810,LOC_Os02g10810.1,0.57,0.47
LOC_Os04g48490,LOC_Os04g48490.1,0.57,0.19
LOC_Os01g65090,LOC_Os01g65090.1,0.57,0.22
LOC_Os08g12840,LOC_Os08g12840.1,0.57,-0.17
LOC_Os11g37080,LOC_Os11g37080.1,0.57,0.25
LOC_Os08g43540,LOC_Os08g43540.1,0.57,0.16
LOC_Os08g28670,LOC_Os08g28670.1,0.57,-0.18
LOC_Os04g58550,LOC_Os04g58550.1,0.57,0.38
LOC_Os05g47890,LOC_Os05g47890.1,0.57,-0.15
LOC_Os03g14900,LOC_Os03g14900.1,0.57,0.34
LOC_Os03g44310,LOC_Os03g44310.1,0.57,-0.2
LOC_Os04g34440,LOC_Os04g34440.1,0.57,-0.12
LOC_Os05g26350,LOC_Os05g26350.1,0.57,0.28
LOC_Os09g32526,LOC_Os09g32526.1,0.57,-0.14
LOC_Os08g22354,LOC_Os08g22354.1,0.57,-0.22
LOC_Os08g25734,LOC_Os08g25734.1,0.57,0.25
LOC_Os10g25780,LOC_Os10g25780.2,0.57,0.27
LOC_Os01g09010,LOC_Os01g09010.1,0.57,0.18
LOC_Os02g11040,LOC_Os02g11040.1,0.57,-0.25
LOC_Os06g19660,LOC_Os06g19660.1,0.57,-0.22
LOC_Os12g33958,LOC_Os12g33958.1,0.57,0.13
LOC_Os02g44500,LOC_Os02g44500.1,0.57,-0.23
LOC_Os02g42210,LOC_Os02g42210.1,0.57,-0.34
LOC_Os03g55090,LOC_Os03g55090.1,0.58,-0.21
LOC_Os03g30790,LOC_Os03g30790.1,0.58,0.34
LOC_Os02g46962,LOC_Os02g46962.1,0.58,0.14
LOC_Os03g18220,LOC_Os03g18220.1,0.58,0.14
LOC_Os11g20790,LOC_Os11g20790.1,0.58,0.27
LOC_Os03g21080,LOC_Os03g21080.1,0.58,0.17
LOC_Os01g72340,LOC_Os01g72340.1,0.58,-0.29
LOC_Os11g48040,LOC_Os11g48040.1,0.58,-0.41
LOC_Os06g39760,LOC_Os06g39760.1,0.58,0.28
LOC_Os04g33220,LOC_Os04g33220.1,0.58,0.37
LOC_Os06g06820,LOC_Os06g06820.1,0.58,0.23
LOC_Os02g10510,LOC_Os02g10510.1,0.58,0.28
LOC_Os11g03470,LOC_Os11g03470.3,0.58,-0.17
LOC_Os05g05700,LOC_Os05g05700.1,0.58,0.35
LOC_Os08g09350,LOC_Os08g09350.1,0.58,-0.3
LOC_Os02g38220,LOC_Os02g38220.1,0.58,0.32
LOC_Os04g44470,LOC_Os04g44470.1,0.58,0.22
LOC_Os03g37970,LOC_Os03g37970.1,0.58,0.26
LOC_Os05g04630,LOC_Os05g04630.1,0.58,0.24
LOC_Os09g37600,LOC_Os09g37600.1,0.58,-0.21
LOC_Os02g02990,LOC_Os02g02990.1,0.59,-0.18
LOC_Os01g03070,LOC_Os01g03070.1,0.59,-0.28
LOC_Os06g20370,LOC_Os06g20370.1,0.59,-0.25
LOC_Os04g36890,LOC_Os04g36890.1,0.59,0.32
LOC_Os03g49190,LOC_Os03g49190.1,0.59,-0.17
LOC_Os02g38840,LOC_Os02g38840.1,0.59,-0.11
LOC_Os04g39040,LOC_Os04g39040.1,0.59,0.22
LOC_Os02g35940,LOC_Os02g35940.1,0.59,0.24
LOC_Os07g10500,LOC_Os07g10500.1,0.59,-0.34
LOC_Os08g41810,LOC_Os08g41810.1,0.59,-0.18
LOC_Os08g05570,LOC_Os08g05570.3,0.59,0.2
LOC_Os06g34710,LOC_Os06g34710.1,0.59,-0.33
